"","x"
"1","gdT cells"
"2","CD56dim CD16bright NK"
"3","CD4 naive I"
"4","CD56dim CD16bright NK"
"5","CD8 effector"
"6","Platelet-bound monocytes"
"7","CD56dim CD16bright NK"
"8","CD56dim CD16bright NK"
"9","gdT cells"
"10","gdT cells"
"11","NK-monocyte doublets"
"12","CD4 naive II"
"13","CD4 memory"
"14","CD4 naive I"
"15","Classical monocytes"
"16","CD8 memory"
"17","CD56bright CD16dim NK"
"18","CD4 memory"
"19","NK-T doublets"
"20","CD56bright CD16dim NK"
"21","T-NK-B cell doublets"
"22","CD56bright CD16dim NK"
"23","CD8 memory"
"24","CD4 naive I"
"25","Classical monocytes"
"26","CD4 naive I"
"27","CD56dim CD16bright NK"
"28","CD4 memory"
"29","CD8 memory"
"30","CD56dim CD16bright NK"
"31","NK-monocyte doublets"
"32","Neutrophils"
"33","Classical monocytes"
"34","CD56dim CD16bright NK"
"35","CD56dim CD16bright NK"
"36","CD8 effector"
"37","CD56dim CD16bright NK"
"38","CD56dim CD16bright NK"
"39","CD56dim CD16bright NK"
"40","Non classical monocytes"
"41","Platelet-bound monocytes"
"42","Proliferating T and NK cell"
"43","Non classical monocytes"
"44","Classical monocytes"
"45","Classical monocytes"
"46","Naive B"
"47","CD56dim CD16bright NK"
"48","CD4 naive II"
"49","T-NK-B cell doublets"
"50","CD56dim CD16bright NK"
"51","CD56dim CD16bright NK"
"52","T-NK-B cell doublets"
"53","Neutrophils"
"54","CD56dim CD16bright NK"
"55","Non classical monocytes"
"56","Memory B"
"57","CD4 naive I"
"58","gdT cells"
"59","gdT cells"
"60","NK-monocyte doublets"
"61","Classical monocytes"
"62","CD4 memory"
"63","CD8 memory"
"64","CD8 effector"
"65","CD4 naive I"
"66","Platelet-bound monocytes"
"67","CD4 memory"
"68","Non classical monocytes"
"69","CD8 naive"
"70","CD8 effector"
"71","CD4 naive I"
"72","CD8 effector"
"73","T-NK-B cell doublets"
"74","NK-T doublets"
"75","CD56dim CD16bright NK"
"76","Regulatory T cells"
"77","CD4 naive I"
"78","Classical monocytes"
"79","CD56dim CD16bright NK"
"80","CD4 naive I"
"81","gdT cells"
"82","Non classical monocytes"
"83","CD4 memory"
"84","conventional DC"
"85","CD56dim CD16bright NK"
"86","CD4 naive I"
"87","Classical monocytes"
"88","NK-T doublets"
"89","CD56dim CD16bright NK"
"90","CD4 naive II"
"91","CD8 naive"
"92","CD8 memory"
"93","CD56dim CD16bright NK"
"94","Neutrophils"
"95","CD8 naive"
"96","Non classical monocytes"
"97","Classical monocytes"
"98","CD4 naive I"
"99","CD4 naive II"
"100","Memory B"
"101","CD56bright CD16dim NK"
"102","CD56dim CD16bright NK"
"103","Non classical monocytes"
"104","CD56dim CD16bright NK"
"105","Classical monocytes"
"106","CD4 naive I"
"107","CD4 naive I"
"108","gdT cells"
"109","MAIT-NKT cells"
"110","CD4 memory"
"111","CD8 memory"
"112","Neutrophils"
"113","Neutrophils"
"114","Naive B"
"115","Platelets"
"116","CD8 memory"
"117","CD4 naive II"
"118","Neutrophils"
"119","CD4 memory"
"120","CD4 naive II"
"121","CD8 effector"
"122","conventional DC"
"123","CD4 naive I"
"124","CD56dim CD16bright NK"
"125","Classical monocytes"
"126","Classical monocytes"
"127","CD8 naive"
"128","CD4 memory"
"129","CD8 effector"
"130","CD8 naive"
"131","Classical monocytes"
"132","CD4 naive II"
"133","CD8 naive"
"134","CD4 naive II"
"135","CD56dim CD16bright NK"
"136","CD4 memory"
"137","Non classical monocytes"
"138","Classical monocytes"
"139","CD4 and CD8 activated memory"
"140","gdT cells"
"141","NK-T doublets"
"142","Classical monocytes"
"143","CD56dim CD16bright NK"
"144","CD4 naive I"
"145","CD4 naive I"
"146","CD56dim CD16bright NK"
"147","CD4 naive I"
"148","CD4 naive I"
"149","CD56dim CD16bright NK"
"150","CD4 naive I"
"151","NK-T doublets"
"152","CD56dim CD16bright NK"
"153","Platelet-bound monocytes"
"154","CD56dim CD16bright NK"
"155","CD56dim CD16bright NK"
"156","Platelet-bound monocytes"
"157","CD8 memory"
"158","CD56dim CD16bright NK"
"159","Neutrophils"
"160","Naive B"
"161","CD56dim CD16bright NK"
"162","CD4 naive II"
"163","MAIT-NKT cells"
"164","CD4 naive II"
"165","CD56dim CD16bright NK"
"166","CD56dim CD16bright NK"
"167","CD4 naive II"
"168","CD56dim CD16bright NK"
"169","NK-T doublets"
"170","Classical monocytes"
"171","CD4 memory"
"172","CD56dim CD16bright NK"
"173","Classical monocytes"
"174","MAIT-NKT cells"
"175","gdT cells"
"176","CD4 memory"
"177","CD8 naive"
"178","CD4 memory"
"179","CD56dim CD16bright NK"
"180","CD8 effector"
"181","Memory B"
"182","CD56dim CD16bright NK"
"183","CD56dim CD16bright NK"
"184","CD8 memory"
"185","Neutrophils"
"186","CD8 naive"
"187","Classical monocytes"
"188","CD8 naive"
"189","CD56dim CD16bright NK"
"190","Non classical monocytes"
"191","Non classical monocytes"
"192","CD8 effector"
"193","CD56dim CD16bright NK"
"194","CD56bright CD16dim NK"
"195","gdT cells"
"196","CD4 naive I"
"197","Naive B"
"198","CD4 memory"
"199","CD56dim CD16bright NK"
"200","MAIT-NKT cells"
"201","CD56dim CD16bright NK"
"202","CD56dim CD16bright NK"
"203","CD56dim CD16bright NK"
"204","Memory B"
"205","CD56bright CD16dim NK"
"206","Non classical monocytes"
"207","Non classical monocytes"
"208","Plasma cells"
"209","CD4 naive I"
"210","CD56dim CD16bright NK"
"211","CD56dim CD16bright NK"
"212","CD8 memory"
"213","CD8 naive"
"214","CD8 effector"
"215","CD8 naive"
"216","CD56dim CD16bright NK"
"217","Memory B"
"218","CD56bright CD16dim NK"
"219","CD4 memory"
"220","gdT cells"
"221","CD8 memory"
"222","CD56dim CD16bright NK"
"223","CD56dim CD16bright NK"
"224","CD8 naive"
"225","T-NK-B cell doublets"
"226","CD56bright CD16dim NK"
"227","CD4 naive I"
"228","Classical monocytes"
"229","CD4 naive II"
"230","Classical monocytes"
"231","CD4 naive II"
"232","CD56dim CD16bright NK"
"233","Naive B"
"234","NK-monocyte doublets"
"235","Non classical monocytes"
"236","CD4 memory"
"237","CD56dim CD16bright NK"
"238","CD4 naive I"
"239","CD4 memory"
"240","CD56dim CD16bright NK"
"241","CD4 memory"
"242","CD4 naive I"
"243","CD8 naive"
"244","NK-T doublets"
"245","Naive B"
"246","CD56dim CD16bright NK"
"247","CD8 memory"
"248","Classical monocytes"
"249","Classical monocytes"
"250","Classical monocytes"
"251","CD8 naive"
"252","Memory B"
"253","CD4 naive II"
"254","CD56dim CD16bright NK"
"255","CD4 memory"
"256","MAIT-NKT cells"
"257","CD8 memory"
"258","CD8 effector"
"259","Classical monocytes"
"260","CD56dim CD16bright NK"
"261","CD4 naive II"
"262","Classical monocytes"
"263","CD4 naive I"
"264","CD4 memory"
"265","CD56dim CD16bright NK"
"266","CD8 effector"
"267","CD56dim CD16bright NK"
"268","CD56dim CD16bright NK"
"269","CD56dim CD16bright NK"
"270","CD8 naive"
"271","CD56dim CD16bright NK"
"272","CD8 memory"
"273","CD56bright CD16dim NK"
"274","CD8 memory"
"275","CD56dim CD16bright NK"
"276","CD8 effector"
"277","gdT cells"
"278","CD8 effector"
"279","CD4 memory"
"280","Regulatory T cells"
"281","CD56dim CD16bright NK"
"282","CD4 naive I"
"283","CD8 memory"
"284","Neutrophils"
"285","CD56bright CD16dim NK"
"286","CD4 naive I"
"287","CD8 naive"
"288","CD56dim CD16bright NK"
"289","NK-T doublets"
"290","Memory B"
"291","CD4 naive II"
"292","CD8 memory"
"293","CD8 memory"
"294","Regulatory T cells"
"295","CD56dim CD16bright NK"
"296","MAIT-NKT cells"
"297","MAIT-NKT cells"
"298","CD56bright CD16dim NK"
"299","CD4 naive I"
"300","Platelet-bound monocytes"
"301","CD4 memory"
"302","gdT cells"
"303","CD56dim CD16bright NK"
"304","CD56dim CD16bright NK"
"305","CD56dim CD16bright NK"
"306","CD56dim CD16bright NK"
"307","conventional DC"
"308","CD56dim CD16bright NK"
"309","Naive B"
"310","CD56dim CD16bright NK"
"311","gdT cells"
"312","Non classical monocytes"
"313","CD56dim CD16bright NK"
"314","gdT cells"
"315","T-NK-B cell doublets"
"316","CD56dim CD16bright NK"
"317","CD4 memory"
"318","Non classical monocytes"
"319","T-NK-B cell doublets"
"320","Neutrophils"
"321","CD56dim CD16bright NK"
"322","CD56dim CD16bright NK"
"323","Platelet-bound monocytes"
"324","CD56dim CD16bright NK"
"325","CD4 memory"
"326","Regulatory T cells"
"327","CD4 memory"
"328","CD56dim CD16bright NK"
"329","CD56bright CD16dim NK"
"330","CD8 effector"
"331","CD4 memory"
"332","CD56dim CD16bright NK"
"333","T-NK-B cell doublets"
"334","Non classical monocytes"
"335","Non classical monocytes"
"336","gdT cells"
"337","T-NK-B cell doublets"
"338","CD8 naive"
"339","gdT cells"
"340","CD56dim CD16bright NK"
"341","Platelet-bound monocytes"
"342","Regulatory T cells"
"343","CD56dim CD16bright NK"
"344","Classical monocytes"
"345","CD4 memory"
"346","CD4 naive I"
"347","CD4 memory"
"348","Classical monocytes"
"349","CD4 naive II"
"350","Neutrophils"
"351","CD4 naive I"
"352","Platelet-bound monocytes"
"353","gdT cells"
"354","CD8 memory"
"355","Regulatory T cells"
"356","Memory B"
"357","CD8 memory"
"358","CD8 effector"
"359","Classical monocytes"
"360","NK-T doublets"
"361","conventional DC"
"362","CD4 naive I"
"363","CD4 memory"
"364","CD56dim CD16bright NK"
"365","Classical monocytes"
"366","CD56dim CD16bright NK"
"367","CD56dim CD16bright NK"
"368","CD56dim CD16bright NK"
"369","CD56dim CD16bright NK"
"370","CD8 naive"
"371","gdT cells"
"372","CD56dim CD16bright NK"
"373","CD8 naive"
"374","CD4 naive I"
"375","CD56dim CD16bright NK"
"376","CD56dim CD16bright NK"
"377","CD56dim CD16bright NK"
"378","gdT cells"
"379","NK-monocyte doublets"
"380","Neutrophils"
"381","CD56dim CD16bright NK"
"382","Regulatory T cells"
"383","CD4 naive I"
"384","T-NK-B cell doublets"
"385","CD56dim CD16bright NK"
"386","CD4 memory"
"387","Non classical monocytes"
"388","Neutrophils"
"389","CD56dim CD16bright NK"
"390","MAIT-NKT cells"
"391","CD4 memory"
"392","CD8 effector"
"393","CD4 naive II"
"394","Classical monocytes"
"395","CD56dim CD16bright NK"
"396","Naive B"
"397","CD8 naive"
"398","MAIT-NKT cells"
"399","CD4 memory"
"400","CD4 memory"
"401","CD8 memory"
"402","CD4 naive I"
"403","CD8 effector"
"404","gdT cells"
"405","Classical monocytes"
"406","CD8 naive"
"407","CD56dim CD16bright NK"
"408","CD4 naive I"
"409","CD8 effector"
"410","CD56dim CD16bright NK"
"411","Erythroid "
"412","Classical monocytes"
"413","CD8 memory"
"414","CD8 memory"
"415","Classical monocytes"
"416","CD56dim CD16bright NK"
"417","CD4 naive I"
"418","CD4 naive I"
"419","CD4 naive I"
"420","CD8 naive"
"421","CD8 memory"
"422","Classical monocytes"
"423","CD4 naive II"
"424","CD8 memory"
"425","CD56dim CD16bright NK"
"426","Memory B"
"427","CD56dim CD16bright NK"
"428","CD8 memory"
"429","CD8 effector"
"430","CD4 naive I"
"431","CD8 naive"
"432","MAIT-NKT cells"
"433","CD4 memory"
"434","CD56dim CD16bright NK"
"435","Classical monocytes"
"436","CD4 memory"
"437","CD4 naive I"
"438","CD56dim CD16bright NK"
"439","CD56dim CD16bright NK"
"440","CD56dim CD16bright NK"
"441","CD8 naive"
"442","CD4 memory"
"443","CD56dim CD16bright NK"
"444","Classical monocytes"
"445","Classical monocytes"
"446","CD56dim CD16bright NK"
