"","x"
"1","Classical monocytes"
"2","CD4 memory"
"3","CD4 memory"
"4","CD4 memory"
"5","Naive B"
"6","CD4 memory"
"7","gdT cells"
"8","Regulatory T cells"
"9","CD8 naive"
"10","Classical monocytes"
"11","MAIT-NKT cells"
"12","CD4 naive II"
"13","CD4 memory"
"14","CD4 memory"
"15","CD4 naive II"
"16","Classical monocytes"
"17","CD4 and CD8 activated memory"
"18","CD4 naive II"
"19","CD4 memory"
"20","CD4 naive I"
"21","MAIT-NKT cells"
"22","Classical monocytes"
"23","CD4 memory"
"24","CD8 naive"
"25","CD8 memory"
"26","Non classical monocytes"
"27","CD56dim CD16bright NK"
"28","CD4 naive I"
"29","CD4 memory"
"30","MAIT-NKT cells"
"31","CD8 effector"
"32","Naive B"
"33","CD8 effector"
"34","CD8 memory"
"35","CD4 memory"
"36","CD4 naive II"
"37","CD4 naive I"
"38","CD56dim CD16bright NK"
"39","CD8 naive"
"40","CD4 naive I"
"41","CD8 memory"
"42","Naive B"
"43","CD4 naive II"
"44","CD56dim CD16bright NK"
"45","CD4 memory"
"46","Platelet-bound monocytes"
"47","CD4 memory"
"48","CD56dim CD16bright NK"
"49","CD8 memory"
"50","CD56dim CD16bright NK"
"51","CD4 memory"
"52","CD8 effector"
"53","CD56dim CD16bright NK"
"54","CD8 effector"
"55","CD4 memory"
"56","Classical monocytes"
"57","CD4 memory"
"58","CD4 naive II"
"59","Regulatory T cells"
"60","CD8 naive"
"61","CD4 memory"
"62","Regulatory T cells"
"63","CD4 naive II"
"64","CD4 naive II"
"65","CD8 effector"
"66","MAIT-NKT cells"
"67","CD4 memory"
"68","CD4 naive I"
"69","Neutrophils"
"70","MAIT-NKT cells"
"71","CD4 memory"
"72","CD8 naive"
"73","CD8 memory"
"74","CD4 memory"
"75","CD8 naive"
"76","CD8 effector"
"77","CD8 effector"
"78","CD56dim CD16bright NK"
"79","CD4 memory"
"80","CD8 memory"
"81","CD4 naive I"
"82","CD4 memory"
"83","CD4 naive I"
"84","Non classical monocytes"
"85","CD56dim CD16bright NK"
"86","CD56dim CD16bright NK"
"87","Regulatory T cells"
"88","Classical monocytes"
"89","Non classical monocytes"
"90","CD8 naive"
"91","Naive B"
"92","CD56dim CD16bright NK"
"93","CD4 memory"
"94","CD56dim CD16bright NK"
"95","Naive B"
"96","NK-T doublets"
"97","CD8 effector"
"98","CD8 memory"
"99","CD4 naive I"
"100","CD8 effector"
"101","Regulatory T cells"
"102","CD4 naive I"
"103","CD4 memory"
"104","CD56dim CD16bright NK"
"105","CD4 naive I"
"106","CD4 memory"
"107","plasmacytoid DC"
"108","CD4 naive II"
"109","CD56dim CD16bright NK"
"110","CD56dim CD16bright NK"
"111","CD4 memory"
"112","CD8 naive"
"113","CD4 naive I"
"114","CD56dim CD16bright NK"
"115","CD4 memory"
"116","CD8 memory"
"117","CD4 naive II"
"118","CD4 naive I"
"119","CD4 memory"
"120","Platelet-bound monocytes"
"121","Classical monocytes"
"122","CD4 naive I"
"123","CD4 naive I"
"124","gdT cells"
"125","MAIT-NKT cells"
"126","CD4 naive I"
"127","CD4 naive II"
"128","Classical monocytes"
"129","CD4 naive II"
"130","CD8 naive"
"131","Naive B"
"132","T-NK-B cell doublets"
"133","CD4 naive II"
"134","CD8 effector"
"135","CD4 and CD8 activated memory"
"136","CD4 memory"
"137","CD4 memory"
"138","gdT cells"
"139","CD8 effector"
"140","CD4 memory"
"141","CD4 naive I"
"142","Platelet-bound monocytes"
"143","CD4 naive I"
"144","MAIT-NKT cells"
"145","NK-T doublets"
"146","CD4 naive II"
"147","CD8 naive"
"148","CD8 effector"
"149","CD4 naive I"
"150","Classical monocytes"
"151","CD4 memory"
"152","CD4 memory"
"153","CD8 naive"
"154","MAIT-NKT cells"
"155","MAIT-NKT cells"
"156","CD4 naive II"
"157","CD4 memory"
"158","CD4 naive II"
"159","Naive B"
"160","CD56bright CD16dim NK"
"161","CD4 naive I"
"162","Naive B"
"163","CD4 naive I"
"164","CD4 memory"
"165","CD4 memory"
"166","CD4 memory"
"167","MAIT-NKT cells"
"168","CD4 naive I"
"169","CD8 naive"
"170","Classical monocytes"
"171","CD4 memory"
"172","Naive B"
"173","CD56dim CD16bright NK"
"174","MAIT-NKT cells"
"175","MAIT-NKT cells"
"176","Classical monocytes"
"177","CD4 naive II"
"178","CD8 memory"
"179","CD4 memory"
"180","CD4 naive I"
"181","CD4 memory"
"182","CD56dim CD16bright NK"
"183","CD8 memory"
"184","CD8 effector"
"185","CD8 naive"
"186","gdT cells"
"187","CD4 memory"
"188","CD56dim CD16bright NK"
"189","MAIT-NKT cells"
"190","Platelet-bound monocytes"
"191","CD4 memory"
"192","CD8 effector"
"193","Memory B"
"194","CD56dim CD16bright NK"
"195","Platelet-bound monocytes"
"196","CD4 naive I"
"197","CD8 effector"
"198","CD56bright CD16dim NK"
"199","CD4 memory"
"200","CD8 effector"
"201","CD56dim CD16bright NK"
"202","CD56dim CD16bright NK"
"203","CD4 naive I"
"204","CD4 memory"
"205","CD4 naive II"
"206","CD4 naive II"
"207","CD4 memory"
"208","CD4 memory"
"209","MAIT-NKT cells"
"210","MAIT-NKT cells"
"211","CD4 memory"
"212","CD4 naive I"
"213","MAIT-NKT cells"
"214","CD8 memory"
"215","CD8 effector"
"216","MAIT-NKT cells"
"217","CD4 naive II"
"218","CD8 memory"
"219","Proliferating T and NK cell"
